Ort;Ort-Art;Insgesamt;Pkw;Lkw;Zugmaschinen;Kraftraeder
Deutschland;Bund;57305201;47095784;3149263;2237428;4438600
Schleswig-Holstein;Bundesland;2024920;1663285;120468;77293;148020
Flensburg;Kreisfreie Stadt;50126;43822;2434;664;2888
Kiel;Landeshauptstadt;128350;110156;7673;907;8190
Lübeck;Hansestadt;115539;98480;6953;1469;7841
Neumünster;Kreisfreie Stadt;49865;41950;3446;755;3317
Dithmarschen;Landkreis;103288;80691;6071;7918;7718
Herzogtum Lauenburg;Landkreis;140764;115955;8206;4973;10663
Nordfriesland;Landkreis;131204;101766;9989;8298;9431
Ostholstein;Landkreis;151319;124387;8073;5722;12062
Pinneberg;Landkreis;208966;174856;12902;5088;14977
Plön;Landkreis;96746;79184;5029;4235;7602
Rendsburg-Eckernförde;Landkreis;209218;170807;11468;10056;15274
Schleswig-Flensburg;Landkreis;158882;125733;9383;10670;11858
Segeberg;Landkreis;200151;165032;11969;6767;15170
Steinburg;Landkreis;100100;80413;5517;5267;8195
Stormarn;Landkreis;180402;150053;11355;4504;12834
Hamburg;Bundesland;921354;794618;58821;7797;53264
Niedersachsen;Bundesland;5763976;4747593;299586;253361;423125
Braunschweig;Stat. Region;1183567;1002471;48854;36392;88507
Braunschweig;Kreisfreie Stadt;164935;144741;7522;1391;10464
Salzgitter;Kreisfreie Stadt;63061;54951;2553;907;4265
Wolfsburg;Kreisfreie Stadt;148726;137862;3663;995;5687
Gifhorn;Landkreis;130334;105549;5440;6440;12009
Göttingen;Landkreis;;;;;
Goslar;Landkreis;95056;79568;4345;2746;7751
Helmstedt;Landkreis;66381;54952;2516;2445;5943
Northeim;Landkreis;107840;86654;4761;6272;9225
Osterode am Harz;Landkreis;;;;;
Peine;Landkreis;98487;82594;3952;3070;8248
Wolfenbüttel;Landkreis;87877;73771;3357;2440;7796
Göttingen;Landkreis;220870;181829;10745;9686;17119
Hannover;Stat. Region;1422679;1186735;71783;47324;106159
Region Hannover;Landkreis;681669;578638;36274;12177;49468
Hannover;Landeshauptstadt;250995;217613;13733;1442;15546
Diepholz;Landkreis;173682;138116;9738;11635;12889
Hameln-Pyrmont;Landkreis;108465;90847;4898;3562;8469
Hildesheim;Landkreis;188508;159045;8143;5496;14576
Holzminden;Landkreis;54296;44428;2422;2731;4244
Nienburg (Weser);Landkreis;97575;76103;5342;7756;7348
Schaumburg;Landkreis;118484;99558;4966;3967;9165
Lüneburg;Stat. Region;1313281;1061008;69723;71293;101401
Celle;Landkreis;131553;107931;6965;4950;10679
Cuxhaven;Landkreis;154615;123874;7580;9946;12081
Harburg;Landkreis;197854;163252;9909;7559;16103
Lüchow-Dannenberg;Landkreis;40464;30329;2242;3996;3442
Lüneburg;Landkreis;124209;103117;6312;4240;9516
Osterholz;Landkreis;86218;71278;3873;3923;6494
Rotenburg (Wümme);Landkreis;143830;110373;10072;11747;10383
Heidekreis;Landkreis;108634;86598;6064;6329;8713
Stade;Landkreis;151857;122872;7777;9468;10603
Uelzen;Landkreis;69858;55926;3540;4077;5717
Verden;Landkreis;104189;85458;5389;5058;7670
Weser-Ems;Stat. Region;1844449;1497379;109226;98352;127058
Delmenhorst;Kreisfreie Stadt;47796;41886;2128;543;3029
Emden;Kreisfreie Stadt;28543;24360;1372;467;2168
Oldenburg (Oldenburg);Kreisfreie Stadt;99842;87801;4848;700;6000
Osnabrück;Kreisfreie Stadt;97144;83704;5718;1451;5589
Wilhelmshaven;Kreisfreie Stadt;46303;39896;2416;376;3345
Ammerland;Landkreis;99056;78581;6801;6047;6875
Aurich;Landkreis;144772;114995;8837;8128;11900
Cloppenburg;Landkreis;126021;98322;9605;9763;7271
Emsland;Landkreis;248326;196771;16114;17155;16349
Friesland;Landkreis;78300;64705;3625;3289;6271
Grafschaft Bentheim;Landkreis;102017;82599;6064;6166;6508
Leer;Landkreis;125111;101191;6994;6545;9705
Oldenburg;Landkreis;102563;82110;5653;6353;7812
Osnabrück;Landkreis;278929;226466;15063;15955;19683
Vechta;Landkreis;108309;85715;7742;7310;6531
Wesermarsch;Landkreis;65548;52807;3602;4206;4460
Wittmund;Landkreis;45869;35470;2644;3898;3562
Bremen;Bundesland;337171;292514;18482;3437;20267
Bremen;Kreisfreie Stadt;279614;242480;15033;2912;17082
Bremerhaven;Kreisfreie Stadt;57557;50034;3449;525;3185
Nordrhein-Westfalen;Bundesland;11896789;10083891;646508;256642;842577
Düsseldorf;Regierungsbezirk;3293147;2837711;163218;41951;230523
Düsseldorf;Kreisfreie Stadt;356351;310614;16800;1612;22611
Duisburg;Kreisfreie Stadt;263632;229610;12272;2325;18177
Essen;Kreisfreie Stadt;330129;287883;16765;1943;21601
Krefeld;Kreisfreie Stadt;134982;118372;6039;1079;8884
Mönchengladbach;Kreisfreie Stadt;158305;137330;8647;1491;10094
Mülheim an der Ruhr;Kreisfreie Stadt;106302;93005;4784;671;7435
Oberhausen;Kreisfreie Stadt;125721;110253;5215;585;9038
Remscheid;Kreisfreie Stadt;71398;61345;3687;746;5292
Solingen;Kreisfreie Stadt;107105;92587;4964;636;8526
Wuppertal;Kreisfreie Stadt;199730;171706;9001;1495;16504
Kleve;Landkreis;227077;190470;12011;8489;14795
Mettmann;Landkreis;341836;293925;18074;3149;25254
